name,original_name,nationalities,painting_schools,art_movements,birth_date,death_date
,,,,,0001-01-01,0001-01-01
ancient egypt,Ancient Egypt,egyptian,,early dynastic period;old kingdom;1st intermediate period;middle kingdom;2nd intermediate period;new kingdom;amarna period;3rd intermediate period;late period;ptolemaic period,0001-01-01,0001-01-01
fayum portrait,Fayum mummy portraits,egyptian,,roman period,0001-01-01,0001-01-01
ancient greek pottery,Ancient Greek Pottery,greek;italian;turkish;bulgarian;macedonian;serbian;croatian,,geometric period;archaic period;classical period;hellenistic period,0001-01-01,0001-01-01
ancient greek painting and sculpture,Ancient Greek Painting and Sculpture,greek;italian;turkish;bulgarian;macedonian;croatian;bosnian;albanian;serbian;slovenian,,archaic period;classical period;hellenistic period,0001-01-01,0001-01-01
apelles,Ἀπελλῆς (Apelles of Kos),greek,heptanese;sicyonian school,classical period;hellenistic period,0001-01-01,0001-01-01
byzantine mosaics,Byzantine Mosaics,greek;turkish;bulgarian;ukrainian;italian,,byzantine art,0001-01-01,0001-01-01
andrei rublev,Андрей Рублёв,russian,,byzantine art,0001-01-01,0001-01-01
ivan rutkovych,Ivan Rutkovych,ukrainian,zhovkva school of artists,byzantine art;baroque,0001-01-01,0001-01-01
ende,Ende,spanish,,pre romanesque art,0001-01-01,0001-01-01
facundus,Facundus,spanish,,romanesque art,0001-01-01,0001-01-01
hildegard of bingen,"Hildegardis Bingensis (Saint Hildegard, Sibyl of the Rhine)",german,,romanesque art,0001-01-01,1179-09-17
herrad of landsberg,Herrad of Landsberg,french;german,,romanesque art,0001-01-01,0001-01-01
nicholas of verdun,Nicholas of Verdun,french,mosan school,romanesque art,0001-01-01,0001-01-01
alberto sotio,Alberto Sozio,italian,spoleto school,romanesque art,0001-01-01,0001-01-01
claricia,Clarica,german,,romanesque art,0001-01-01,0001-01-01
pietro lorenzetti,Pietro Laurati,italian,sienese school,gothic art;proto renaissance,0001-01-01,0001-01-01
simone martini,Simone Martini,italian,sienese school,gothic art,0001-01-01,0001-01-01
ambrogio lorenzetti,Ambruogio Laurati,italian,sienese school,proto renaissance;gothic art,0001-01-01,1348-06-09
melchior broederlam,Melchior Broederlam,flemish,flemish school,gothic art,0001-01-01,0001-01-01
gentile da fabriano,Gentile di Nicolò di Giovanni,italian,lombard school,gothic art,0001-01-01,0001-01-01
master francke,"Meister Francke, Frater Francke",german,,gothic art,0001-01-01,0001-01-01
limbourg brothers,"Gebroeders van Limburg (Herman, Paul, and Johan)",dutch,,gothic art,0001-01-01,0001-01-01
pisanello,Antonio di Puccio Pisano (Antonio di Puccio da Cereto),italian,,gothic art;early renaissance,0001-01-01,0001-01-01
bartolome bermejo,Bartolomé de Cárdenas,spanish,,gothic art,0001-01-01,0001-01-01
viking art,Norse art,norwegian;swedish;finnish;dane;icelandic;british,,medieval art,0001-01-01,0001-01-01
cimabue,Bencivieni di Pepo (Benvenuto di Giuseppe) Giovanni Cimabue,italian,florentine school,proto renaissance,0001-01-01,0001-01-01
duccio,Duccio di Buoninsegna,italian,sienese school,proto renaissance,0001-01-01,0001-01-01
giotto,Giotto di Bondone,italian,florentine school,proto renaissance,0001-01-01,1337-01-08
paolo veneziano,Paolo da Venezia,italian,,proto renaissance,0001-01-01,0001-01-01
giovanni da milano,Giovanni di Jacopo di Guido da Caversaccio,italian,lombard school,proto renaissance,0001-01-01,0001-01-01
luca di tomme,Luca di Tommé,italian,sienese school,proto renaissance,0001-01-01,0001-01-01
cennino cennini,Cennino Cennini,italian,,proto renaissance,0001-01-01,0001-01-01
lorenzo monaco,Piero di Giovanni,italian,,early renaissance,0001-01-01,0001-01-01
filippo brunelleschi,Filippo Brunelleschi,italian,florentine school,early renaissance,0001-01-01,1446-04-15
lorenzo ghiberti,Lorenzo di Bartolo,italian,florentine school,early renaissance,0001-01-01,0001-01-01
donatello,Donato di Niccolò di Betto Bardi,italian,florentine school,early renaissance,0001-01-01,1466-12-13
fra angelico,Fra Giovanni da Fiesole (Guido di Pietro),italian,florentine school,early renaissance,0001-01-01,1455-02-18
paolo uccello,Paolo di Dono,italian,,early renaissance,0001-01-01,1475-12-10
jacopo bellini,Jacopo Bellini,italian,venetian school,early renaissance,0001-01-01,0001-01-01
masaccio,Tommaso di Ser Giovanni di Mone,italian,florentine school,early renaissance,0001-01-01,0001-01-01
leon battista alberti,Leon Battista Alberti,italian,florentine school,early renaissance,1404-02-14,1472-04-25
filippo lippi,Fra' Filippo Lippi,italian,florentine school,early renaissance,0001-01-01,1469-10-08
lo scheggia,Giovanni di ser Giovanni Guidi,italian,,early renaissance,0001-01-01,0001-01-01
domenico veneziano,Domenico di Bartolomeo,italian,florentine school,early renaissance,0001-01-01,1461-05-15
piero della francesca,Piero della Francesca,italian,,early renaissance,0001-01-01,1492-10-12
nuno goncalves,Nuno Gonçalves,portuguese,,early renaissance,0001-01-01,0001-01-01
benozzo gozzoli,Benozzo di Lese,italian,florentine school,early renaissance,0001-01-01,0001-01-01
andrea del castagno,Andrea di Bartolo di Bargilla,italian,florentine school,early renaissance,0001-01-01,1457-08-19
gentile bellini,Gentile Bellini,italian,venetian school,high renaissance;early renaissance,0001-01-01,1507-02-23
antonio del pollaiolo,Antonio di Jacopo Benci,italian,,early renaissance;high renaissance,1429-01-17,1498-02-04
antonello da messina,Antonello da Messina,italian,venetian school,early renaissance,0001-01-01,0001-01-01
francesco del cossa,Francesco del Cossa,italian,ferrara school,early renaissance,0001-01-01,0001-01-01
desiderio da settignano,Desiderio de Bartolomeo di Francesco detto Ferro,italian,,early renaissance,0001-01-01,0001-01-01
andrea mantegna,Andrea Mantegna,italian,venetian school,early renaissance;high renaissance,0001-01-01,1506-09-13
carlo crivelli,Carlo Crivelli,italian,venetian school,early renaissance,0001-01-01,0001-01-01
andrea del verrochio,Andrea di Michele di Francesco de' Cioni,italian,,early renaissance,0001-01-01,0001-01-01
sandro botticelli,Alessandro di Mariano di Vanni Filipepi,italian,florentine school,early renaissance,0001-01-01,1510-05-17
francesco botticini,Francesco di Giovanni Botticini,,,early renaissance,0001-01-01,1498-01-16
domenico ghirlandaio,Domenico di Tommaso Curradi di Doffo Bigordi,italian,florentine school,early renaissance,0001-01-01,1494-01-11
filippino lippi,Filippino Lippi,italian,,early renaissance;high renaissance,1457-04-15,1504-04-18
giovanni bellini,Giovanni Bellini,italian,venetian school,high renaissance,0001-01-01,0001-01-01
donato bramante,Donato di Pascuccio d'Antonio (Bramante Lazzari),italian,,high renaissance,0001-01-01,1514-04-11
luca signorelli,Luca d'Egidio di Ventura,italian,tuscan school,high renaissance,0001-01-01,1523-10-16
pietro perugino,Pietro Vannucci,italian,umbrian school,high renaissance,0001-01-01,0001-01-01
leonardo da vinci,Leonardo di ser Piero da Vinci,italian,,high renaissance,1452-04-15,1519-05-02
pinturicchio,Bernardino di Betto,italian,umbrian school,high renaissance,0001-01-01,0001-01-01
cima da conegliano,Giovanni Battista Cima,italian,venetian school,high renaissance,0001-01-01,0001-01-01
andrea solario,Andrea Solario (Solari),italian,milanese school,high renaissance,0001-01-01,0001-01-01
piero di cosimo,Piero di Cosimo (Piero di Lorenzo),italian,florentine school,high renaissance,1462-01-02,1522-04-12
vittore carpaccio,Vittore Carpaccio,italian,venetian school,high renaissance,0001-01-01,0001-01-01
giovanni antonio boltraffio,Giovanni Antonio Boltraffio,italian,lombard school,high renaissance,0001-01-01,0001-01-01
fra bartolomeo,Baccio della Porta,italian,florentine school,high renaissance,1472-03-28,1517-10-31
mariotto albertinelli,Mariotto di Bigio di Bindo Albertinelli,italian,florentine school,high renaissance,1474-10-13,1515-11-05
michelangelo,Michelangelo di Lodovico Buonarroti Simoni,italian,florentine school,high renaissance,1475-03-06,1564-02-18
il sodoma,Giovanni Antonio Bazzi,italian,sienese school,high renaissance,0001-01-01,1549-02-14
giorgione,Giorgio Barbarelli da Castelfranco,italian,venetian school,high renaissance,0001-01-01,0001-01-01
lorenzo lotto,Lorenzo Lotto,italian,venetian school,high renaissance,0001-01-01,0001-01-01
bartolomeo veneto,Bartolomeo Veneto,italian,,high renaissance,0001-01-01,0001-01-01
defendente ferrari,Defendente Ferrari,italian,,high renaissance,0001-01-01,0001-01-01
palma vecchio,Jacopo Palma (Jacopo Negretti),italian,,high renaissance;mannerism,0001-01-01,1528-07-30
bernardino luini,Bernardino de Scapis,italian,,high renaissance,0001-01-01,0001-01-01
raphael,Raffaello Sanzio da Urbino,italian,umbrian school,high renaissance,0001-01-01,0001-01-01
sebastiano del piombo,Sebastiano Luciani,italian,venetian school,high renaissance;mannerism,0001-01-01,1547-06-21
andrea del sarto,Andrea d'Agnolo di Francesco di Luca di Paolo del Migliore,italian,florentine school,high renaissance;mannerism,0001-01-01,0001-01-01
titian,Tiziano Vecellio,italian,venetian school,high renaissance;mannerism,0001-01-01,1576-08-27
correggio,Antonio Allegri da Correggio,italian,parma school,high renaissance;mannerism,0001-01-01,1534-03-05
dosso dossi,Giovanni di Niccolò de Luteri,italian,ferrara school,high renaissance,0001-01-01,0001-01-01
giulio clovio,Juraj Julije Klović,croatian;italian,,high renaissance,0001-01-01,1578-01-05
benvenuto tisi,Benvenuto Tisi (Il Garofalo),italian,ferrara school,mannerism,0001-01-01,1559-09-06
rosso fiorentino,Giovanni Battista di Jacopo,italian,florentine school,mannerism,1494-03-08,1540-11-14
jacopo pontormo,Jacopo Carucci,italian,florentine school,mannerism,1494-05-24,1557-01-02
maerten van heemskerck,Marten Jacobsz Heemskerk van Veen,dutch,,mannerism,0001-01-01,1574-10-01
benvenuto cellini,Benvenuto Cellini,italian,,mannerism,1500-11-03,1571-02-13
parmigianino,Girolamo Francesco Maria Mazzola,italian,parma school,mannerism,1503-01-11,1540-08-24
agnolo bronzino,Agnolo di Cosimo di Mariano,italian,florentine school,mannerism,1503-11-17,1572-11-23
vicente juan masip,Joan de Joanes/ Juan de Juanes,spanish,valencian school,mannerism,0001-01-01,0001-01-01
andrea palladio,Andrea Palladio,italian,,mannerism,1508-11-30,1580-08-19
daniele da volterra,Daniele Ricciarelli,italian,,mannerism,0001-01-01,0001-01-01
jacopo bassano,Jacopo Bassano,italian,,mannerism,0001-01-01,1592-02-14
francesco de' rossi,Francesco de' Rossi (Francesco Salviati),italian,,mannerism,0001-01-01,1563-11-11
giorgio vasari,Giorgio Vasari,italian,tuscan school,mannerism,1511-07-30,1574-06-27
tintoretto,"Jacopo Robusti, Jacopo Comin (Il Furioso)",italian,venetian school,mannerism,0001-01-01,1594-05-31
plautilla nelli,Suor Plautilla Nelli (Pulisena Margherita Nelli),italian,,mannerism,0001-01-01,0001-01-01
giuseppe arcimboldo,Giuseppe Arcimboldo,italian,,mannerism,0001-01-01,0001-01-01
paolo veronese,Paolo Cagliari,italian,venetian school,mannerism,0001-01-01,1588-04-19
giambologna,Jean de Boulogne,flemish,,mannerism,0001-01-01,1608-08-13
bartolomeo passerotti,Bartolomeo Passerotti,italian,,mannerism,1529-06-28,1592-06-03
sofonisba anguissola,Sofonisba Anguissola,italian,lombard school,mannerism,0001-01-01,1625-11-16
el greco,Δομήνικος Θεοτοκόπουλος (Doménikos Theotokópoulos),spanish;greek,cretan school,mannerism,0001-01-01,1614-04-07
palma il giovane,Iacopo Negretti,italian,venetian school,mannerism,0001-01-01,1628-10-14
hans von aachen,Hans von Aachen,german,,mannerism;northern renaissance,0001-01-01,1615-03-04
lavinia fontana,Lavinia Fontana,italian,bolognese school,mannerism,1552-08-24,1614-08-11
barbara longhi,Barbara Longhi,italian,,mannerism,1552-09-21,1638-12-23
otto van veen,Otto Vaenius,flemish,antwerp school,mannerism;baroque,0001-01-01,1629-05-06
hendrick goltzius,Hendrick Goltzius,dutch,lombard school,mannerism;baroque,0001-01-01,1617-01-01
marietta robusti,Marietta Robusti,italian,,mannerism,0001-01-01,0001-01-01
tobias verhaecht,Tobias Verhaecht,flemish,antwerp school,northern renaissance;mannerism,0001-01-01,0001-01-01
adam van noort,Adam van Noort,flemish,antwerp school,baroque;mannerism,0001-01-01,0001-01-01
orazio gentileschi,Orazio Lomi Gentileschi,italian,caravaggisti,mannerism,1563-07-09,1639-02-07
francisco pacheco,Francisco Pacheco del Río,spanish,seville school,mannerism;baroque,0001-01-01,1644-11-27
joachim wtewael,Joachim Anthonisz Wtewael (Uytewael),dutch,,mannerism;northern renaissance,0001-01-01,1638-08-01
fede galizia,Fede Galizia,italian,,mannerism,0001-01-01,0001-01-01
robert campin,Robert Campin,flemish,flemish school,northern renaissance,0001-01-01,1444-04-26
jan van eyck,Johannes de Eyck,flemish,flemish school,northern renaissance,0001-01-01,0001-01-01
rogier van der weyden,Rogier van der Weyden,flemish,flemish school,northern renaissance,0001-01-01,1464-06-18
konrad witz,Konrad Witz,german;swiss,,northern renaissance,0001-01-01,0001-01-01
jacques daret,Jacques Daret,flemish,,northern renaissance,0001-01-01,0001-01-01
petrus christus,Petrus Christus,flemish,dutch school,northern renaissance,0001-01-01,0001-01-01
dirk bouts,Dieric Bouts,dutch,,northern renaissance,0001-01-01,1475-05-06
jean fouquet,Jean (Jehan) Fouquet,french,,northern renaissance,0001-01-01,0001-01-01
hans memling,Hans Memling,flemish,bruges school;flemish school,northern renaissance,0001-01-01,1494-08-11
hugo van der goes,Hugo van der Goes,flemish,bruges school;flemish school,northern renaissance,0001-01-01,0001-01-01
martin schongauer,Martin Schongauer,german,german school,northern renaissance,0001-01-01,1491-02-02
hieronymus bosch,Jeroen Anthoniszoon van Aken,dutch,flemish school,northern renaissance,0001-01-01,1516-08-09
jan joest,Jan Joest van Calcar,dutch,,northern renaissance,0001-01-01,0001-01-01
gerard david,Gerard David,flemish,bruges school,northern renaissance,0001-01-01,1523-08-13
bernhard strigel,Bernhard Strigel,german,swabian school,northern renaissance,0001-01-01,0001-01-01
jan provoost,Jan Provoost,flemish,flemish school,northern renaissance,0001-01-01,0001-01-01
quentin matsys,Quentin Matsys,flemish,antwerp school,northern renaissance,0001-01-01,0001-01-01
matthias grunewald,Matthias Grünewald,german,german school,northern renaissance,0001-01-01,1528-08-31
albrecht durer,Albrecht Dürer,german,german school,northern renaissance,1471-05-21,1528-04-06
lucas cranach the elder,Lucas Cranach der Ältere,german,danube school,northern renaissance,1472-10-04,1553-10-16
jean hey,Master of Moulins,french;flemish,,northern renaissance,0001-01-01,0001-01-01
mabuse,Jan Gossaert (Jennyn van Hennegouwe),flemish,antwerp school,northern renaissance,0001-01-01,1532-10-01
albrecht altdorfer,Albrecht Altdorfer,german,danube school,northern renaissance,0001-01-01,1538-02-12
joachim patinir,Joachim Patinir (de Patiner),flemish,flemish school;antwerp school,northern renaissance,0001-01-01,1524-10-05
jerg ratgeb,Jerg Ratgeb,german,,northern renaissance,0001-01-01,0001-01-01
hans baldung,Hans Baldung Grien (Grün),german,upper rhine school,northern renaissance,0001-01-01,0001-01-01
gregorio lopes,Gregório Lopes,portuguese,,northern renaissance,0001-01-01,0001-01-01
marinus van reymerswaele,Marinus van Reymerswaele,dutch,,northern renaissance,0001-01-01,0001-01-01
hans holbein the younger,Hans Holbein the Younger,german,german school,northern renaissance,0001-01-01,0001-01-01
jan van hemessen,Jan Sanders van Hemessen,flemish,flemish school;antwerp school,northern renaissance,0001-01-01,0001-01-01
cristovao de figueiredo,Cristóvão de Figueiredo,portuguese,,northern renaissance,0001-01-01,0001-01-01
pieter aertsen,Pieter Aertsen,dutch,,northern renaissance,0001-01-01,1575-06-03
pieter bruegel the elder,Pieter Brueghel de Oude,flemish,flemish school;antwerp school,northern renaissance,0001-01-01,1569-09-09
hans hoffmann,Hans Hoffmann,german,,northern renaissance,0001-01-01,0001-01-01
maarten de vos,Maarten de Vos,flemish,,northern renaissance,0001-01-01,1603-12-04
nicholas hilliard,Nicholas Hilliard,british,,northern renaissance,0001-01-01,1619-01-07
pieter brueghel the younger,Hell Brueghel,flemish,,northern renaissance,0001-01-01,0001-01-01
paul bril,Paul Bril,flemish,,baroque,0001-01-01,1626-10-07
agostino carracci,Agostino Carracci,italian,,baroque,1557-08-16,1602-03-22
annibale carracci,Annibale Carracci,italian,bolognese school,baroque,1560-11-03,1609-07-15
hendrick cornelisz vroom,Hendrick Cornelisz Vroom,dutch,dutch school,baroque;dutch golden age,0001-01-01,1640-02-04
jan brueghel the elder,"Velvet Brueghel, Flower Brueghel, Paradise Brueghel",flemish,flemish school,baroque,0001-01-01,1625-01-13
caravaggio,Michelangelo Merisi da Caravaggio,italian,,baroque,1571-09-29,1610-07-18
georges lallemand,Georges Lallemant,french,,baroque,0001-01-01,0001-01-01
guido reni,Guido Reni,italian,bolognese school,baroque,1575-11-04,1642-08-18
francisco herrera,Francisco Herrera the Elder,spanish,seville school,baroque,0001-01-01,0001-01-01
peter paul rubens,Sir Peter Paul Rubens,flemish,flemish school;antwerp school,baroque,1577-06-28,1640-05-30
agostino tassi,Agostino Tassi,italian,,baroque,0001-01-01,0001-01-01
adam elsheimer,Adam Elsheimer,german,,baroque,1578-03-18,1610-12-11
frans snyders,Frans Snyders (Snijders),flemish,flemish school,baroque,1579-11-11,1657-08-19
frans hals,Frans Hals,dutch,dutch school;haarlem school,baroque;dutch golden age,0001-01-01,1666-08-26
osias beert,Osias Beert,flemish,,baroque,0001-01-01,0001-01-01
bernardo strozzi,"Bernardo Strozzi (il Cappuccino,  il Prete genovese)",italian,caravaggisti;genoese school,baroque,0001-01-01,1644-08-02
cornelis de vos,Cornelis de Vos,flemish,flemish school;antwerp school,baroque,0001-01-01,1651-05-09
hendrick avercamp,Hendrick Avercamp,dutch,dutch school,baroque;dutch golden age,0001-01-01,0001-01-01
esaias van de velde,Esaias van de Velde,dutch,dutch school;haarlem school,baroque;dutch golden age,0001-01-01,0001-01-01
hendrick terbrugghen,Hendrick Jansz ter Brugghen,dutch,caravaggisti;dutch school;utrecht school,baroque;dutch golden age,0001-01-01,1629-11-01
claude deruet,Claude Deruet,french,,baroque,0001-01-01,0001-01-01
hercules seghers,Hercules Pieterszoon Seghers,dutch,dutch school,baroque;dutch golden age,0001-01-01,0001-01-01
adriaen van de venne,Adriaen Pietersz van de Venne,dutch,dutch school,baroque;dutch golden age,0001-01-01,1662-11-12
domenico fiasella,Il Sarzana,italian,,baroque,1589-08-12,1669-10-19
nicolas tournier,Nicolas Tournier,french,caravaggisti,baroque,0001-01-01,0001-01-01
jusepe de ribera,José de Ribera (Lo Spagnoletto),spanish,caravaggisti,baroque,1591-01-12,1652-09-02
guercino,Giovanni Francesco Barbieri,italian,bolognese school,baroque,1591-02-08,1666-12-22
georges de la tour,Georges de la Tour,french,caravaggisti,baroque,1593-03-13,1652-01-30
jacob jordaens,Jacob Jordaens,flemish,flemish school;antwerp school,baroque,1593-05-19,1678-09-18
artemisia gentileschi,Artemisia Gentileschi,italian,florentine school;caravaggisti,baroque,1593-07-08,0001-01-01
clara peeters,Clara Peeters,flemish,,baroque,0001-01-01,0001-01-01
nicolas poussin,Nicolas Poussin,french,,baroque,1594-06-15,1665-11-19
dirck van baburen,Dirck (Teodoer) Jaspersz van Baburen,dutch,utrecht school;caravaggisti,baroque;dutch golden age,0001-01-01,1624-02-21
jacques stella,Jacques Stella,french,,baroque,0001-01-01,1657-04-29
jan van goyen,Jan Josephszoon van Goyen,dutch,,baroque;dutch golden age,1596-01-13,1656-04-27
pietro da cortona,Pietro Berrettini da Cortona,italian,,baroque,1596-11-01,1669-05-16
pieter claesz,Pieter Claesz,dutch,haarlem school,baroque;dutch golden age,0001-01-01,1660-01-01
francisco de zurbaran,Francisco de Zurbarán,spanish,,baroque,1598-11-07,1664-08-27
gian lorenzo bernini,Giovanni Lorenzo Bernini,italian,,baroque,1598-12-07,1680-11-28
le nain brothers,"Antoine Le Nain, Louis Le Nain, Mathieu Le Nain",french,,baroque,0001-01-01,0001-01-01
willem cornelisz duyster,Willem Cornelisz Duyster,dutch,,baroque;dutch golden age,0001-01-01,0001-01-01
anthony van dyck,Antoon van Dyck,flemish,flemish school;antwerp school,baroque,1599-03-22,1641-12-09
diego velazquez,Diego Rodríguez de Silva y Velázquez,spanish,seville school,baroque,1599-06-06,1660-08-06
pieter codde,Pieter Jacobsz Codde,dutch,,baroque;dutch golden age,1599-12-11,1678-10-12
claude lorrain,Claude Gellée,french,,baroque;rococo,0001-01-01,1682-11-21
matthias stom,Matthias Stomer,dutch,caravaggisti;dutch school;utrecht school,baroque;dutch golden age,0001-01-01,0001-01-01
thomas smith,Captain Thomas Smith,american,,baroque,0001-01-01,0001-01-01
jan cossiers,Jan Cossiers,flemish,flemish school,baroque,1600-07-15,1671-07-04
simon de vlieger,Simon de Vlieger,dutch,,baroque;dutch golden age,0001-01-01,1653-03-13
alonzo cano,Alonzo Cano,spanish,,baroque,1601-03-19,1667-09-03
mario nuzzi,Mario Nuzzi (Mario de' Fiori),italian,,baroque,0001-01-01,0001-01-01
johannes moreelse,Johan Pauwelszon Moreelse,dutch,utrecht school;caravaggisti,baroque;dutch golden age,0001-01-01,0001-01-01
adriaen brouwer,Adriaen Brouwer,flemish,flemish school;antwerp school,baroque,0001-01-01,0001-01-01
theodoor van thulden,Theodoor van Thulden,dutch,dutch school;antwerp school,baroque;dutch golden age,0001-01-01,1669-07-12
isaac fuller,Isaac Fuller,british,,baroque,0001-01-01,0001-01-01
rembrandt,Rembrandt Harmenszoon van Rijn,dutch,dutch school,baroque;dutch golden age,1606-07-15,1669-10-04
rosalba carriera,Rosalba Carriera,italian,,rococo,1675-10-07,1757-04-15
antoine pesne,Antoine Pesne,german;french,,rococo,1683-04-29,1757-08-05
antoine watteau,Jean-Antoine Watteau,french,,rococo,1684-10-10,1721-07-18
jean marc nattier,Jean-Marc Nattier,french,,rococo,1685-03-17,1766-11-07
jean baptiste oudry,Jean-Baptiste Oudry,french,,rococo,1686-03-17,1755-04-30
giambattista pittoni,Giovanni Battista Pittoni,italian,,baroque;rococo,1687-06-06,1767-11-06
giovanni battista tiepolo,Giambattista Tiepolo,italian,venetian school,rococo,1696-03-05,1770-03-27
canaletto,Giovanni Antonio Canal,italian,venetian school,baroque;rococo,1697-10-28,1768-04-19
william hogarth,William Hogarth,british,english school,rococo,1697-11-10,1764-10-26
jean baptiste simeon chardin,Jean-Baptiste-Siméon Chardin,french,,baroque;rococo,1699-11-02,1779-12-06
george lambert,George Lambert,british,,rococo,0001-01-01,1765-11-30
pietro longhi,Pietro Falca,french,,rococo,0001-01-01,0001-01-01
jean etienne liotard,Jean-Étienne Liotard,swiss,,rococo,1702-12-22,1789-06-12
francois boucher,François Boucher,french,,rococo,1703-09-29,1770-05-30
maurice quentin de la tour,Maurice Quentin de La Tour,french,,rococo,1704-08-05,1788-02-17
david morier,David Morier,swiss;british,,rococo,0001-01-01,1770-01-08
charles andre van loo,Charles-André van Loo,french,,rococo,1705-02-15,1765-07-15
johann georg pinzel,Іван Георгій Пінзель,ukrainian;czech,,rococo;baroque,0001-01-01,0001-01-01
allan ramsay,Allan Ramsay,british,scottish school,rococo,1713-10-13,1784-08-10
richard wilson,Richard Wilson RA,british,,rococo,1714-08-01,1782-05-15
joseph marie vien,Joseph-Marie Vien,french,,rococo,1716-06-18,1809-03-27
bernardo bellotto,Bernardo Francesco Paolo Ernesto Bellotto,italian,venetian school,rococo,0001-01-01,1780-10-17
joshua reynolds,Sir Joshua Reynolds,british,english school,rococo,1723-07-16,1792-02-23
johann anton de peters,Johann Anton de Peters,german,,rococo,0001-01-01,0001-01-01
jean baptiste greuze,Jean-Baptiste Greuze,,,rococo,1725-08-21,1809-03-04
william williams,William Williams,american;british,,rococo,0001-01-01,1791-04-27
thomas gainsborough,Thomas Gainsborough,british,english school,rococo,1727-05-14,1788-08-02
giovanni domenico tiepolo,Giandomenico Tiepolo,italian,,rococo,1727-08-30,1804-03-03
carl ludwig johann christineck,Карл Людвиг Христинек,russian;german,,rococo,0001-01-01,0001-01-01
jean honore fragonard,Jean-Honoré Nicolas Fragonard,french,,rococo,1732-04-05,1806-08-22
hubert robert,Hubert Robert,french,,rococo,1733-05-22,1808-04-15
francisco bayeu y subias,Francisco Bayeu y Subías,spanish,,rococo;neoclassicism,1734-03-09,1795-08-04
paul revere,Paul Revere,american,,rococo,1734-12-21,1818-05-10
george romney,George Romney,british,english school,rococo,1734-12-26,1802-11-15
dmitry levitzky,Дмитрий Левицкий,russian;ukrainian,,rococo;neoclassicism,0001-01-01,1822-04-04
joseph ducreux,Joseph Ducreux,french,,rococo,1735-06-26,1802-07-24
fyodor rokotov,Фёдор Рокотов,russian,,rococo,0001-01-01,1808-12-24
benjamin west,Benjamin West,american;british,,rococo;neoclassicism,1738-10-10,1820-03-11
charles willson peale,Charles Willson Peale,american,,rococo,1741-04-15,1827-02-22
anne vallayer coster,Anne Vallayer-Coster,french,,rococo,1744-12-21,1818-02-28
john russell,John Russell,british,,rococo,1745-03-29,1806-04-20
luis paret y alcazar,Luis Paret y Alcázar,spanish,,rococo,1746-02-11,1799-02-14
ralph earl,Ralph Earl,american,,rococo,1751-05-11,1801-08-16
jose campeche,José Campeche y Jordán,puerto rican,,rococo,0001-01-01,1809-11-07
louise elisabeth vigee le brun,Louise Élisabeth Vigée Le Brun,french,,rococo,1755-04-16,1842-03-30
gilbert stuart,Gilbert Charles Stuart,american,,rococo;romanticism,1755-12-03,1828-07-09
vladimir borovikovsky,Владимир Боровиковский,russian;ukrainian,,rococo;neoclassicism,1757-07-24,1825-04-06
lemuel francis abbott,Lemuel Francis Abbott,british,,rococo,0001-01-01,1802-12-05
george morland,George Morland,british,english school,rococo,1763-06-26,1804-10-29
vieira portuense,Francisco Vieira,portuguese,,rococo;neoclassicism,1765-05-13,1805-05-02
thomas lawrence,Sir Thomas Lawrence,british,,rococo;romanticism,1769-04-13,1830-01-07
john jackson,John Jackson,british,english school,rococo,1778-05-31,1831-06-01
marcos zapata,Marcos Sapaca Inca,peruvian,,neoclassicism,0001-01-01,0001-01-01
claude joseph vernet,Claude Joseph Vernet,french,,neoclassicism,1714-08-14,1789-12-03
giovanni battista piranesi,Giovanni Battista (Giambattista) Piranesi,italian,,baroque;neoclassicism,1720-09-04,1778-11-09
anton raphael mengs,Anton Raphael Mengs,german,,neoclassicism;baroque,1728-03-22,1779-06-29
joseph wright,Joseph Wright of Derby,british,,neoclassicism;romanticism,1734-09-03,1797-08-29
john singleton copley,John Singleton Copley,american,,neoclassicism;romanticism,1738-07-03,1815-09-09
james barry,James Barry,irish,english school,neoclassicism;romanticism,1741-10-11,1806-02-22
angelica kauffman,Maria Anna Angelica Katharina Kauffman,swiss,,neoclassicism,1741-10-30,1807-11-05
giacomo quarenghi,Giacomo Antonio Domenico Quarenghi,italian;russian,,neoclassicism,1744-09-20,1817-03-02
jacques louis david,Jacques-Louis David,french,,neoclassicism,1748-08-30,1825-12-29
christian august lorentzen,Christian August Lorentzen,danish,,neoclassicism;romanticism,1749-08-10,1828-05-08
pierre henri de valenciennes,Pierre-Henri de Valenciennes,french,,neoclassicism,1750-12-06,1819-02-16
william hamilton,William Hamilton,british,,neoclassicism,1751-05-14,1801-08-02
fyodor alekseyev,Фёдор  Алексеев,russian,,neoclassicism,0001-01-01,1824-10-23
abraham van strij,Abraham van Strij,dutch,,neoclassicism,0001-01-01,0001-01-01
jacob van strij,Jacob van Strij,dutch,,neoclassicism,0001-01-01,0001-01-01
john trumbull,John Trumbull,american,,neoclassicism,1756-06-06,1843-11-10
antonio canova,Antonio Canova,italian,,neoclassicism,1757-11-01,1822-10-13
pierre paul prud'hon,Pierre-Paul Prud'hon,french,,neoclassicism;romanticism,1758-04-04,1823-02-16
jean joseph xavier bidauld,Jean-Joseph-Xavier Bidauld,french,,neoclassicism,1758-04-10,1846-10-20
marie gabrielle capet,Marie-Gabrielle Capet,french,,neoclassicism,1761-09-06,1818-11-01
